src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.54.1,192.168.54.255,54915,54915,17,2026-07-15 17:01:58,9.025834,371.71080256960187,1.2187239428511538,1.2187239428511538,0.0,11,0,3355,0,305,305,305.0,0.0,0,0,0,0.0,305,305,305.0,0.0,0.0,220,0,20,11,0.9025833999999999,1.015143,0.0,0.3008987542779797,9.025834,1.015143,0.0,0.9025833999999999,0.3008987542779797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.0,0,0,11,0,3355,0
192.168.54.129,116.121.156.200,41641,33084,17,2026-07-15 17:01:59,6.622862,1171.3968975950277,4.378771594516087,2.56686610713012,1.811905487385967,17,12,5800,1958,1354,74,341.1764705882353,441.6045922733991,314,138,163.16666666666666,46.82918131061254,1354,74,267.51724137931035,350.58912199518625,122912.73246135557,340,240,20,17,0.2365307857142857,2.995605,0.0,0.7359211112229818,6.6228620000000005,2.995605,0.0,0.413928875,0.935062264515703,6.001369,3.002994,1e-06,0.545579,1.0935969872593503,0,0,0,0,0,0,0,0,0,0,0,0.7058823529411765,267.51724137931035,0,0,0,0,0,0,0,0,0,0,3840.0,4.0,0,0,2.4E+7,0,341.1764705882353,163.16666666666666,0,17,12,5800,1958
192.168.54.129,103.6.84.152,41641,3478,17,2026-07-15 17:02:00,0.084328,2822.3128735414098,35.575372355563985,23.716914903709327,11.858457451854663,2,1,164,74,82,82,82.0,0.0,74,74,74.0,0.0,82,74,79.33333333333333,3.7712361663282534,14.222222222222221,40,20,20,2,0.042164,0.084328,0.0,0.042164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,79.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,74.0,0,2,1,164,74
192.168.54.129,192.168.54.2,45949,5351,17,2026-07-15 17:02:00,2.9e-05,5310344.827586207,103448.27586206897,103448.27586206897,0.0,3,0,154,0,66,44,51.333333333333336,10.370899457402697,0,0,0,0.0,66,44,51.333333333333336,10.370899457402697,107.55555555555554,60,0,20,3,1.45e-05,2.9e-05,0.0,1.45e-05,2.9e-05,2.9e-05,0.0,1.45e-05,1.45e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,51.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.333333333333336,0,0,3,0,154,0
192.168.54.129,192.168.54.2,45949,1900,17,2026-07-15 17:02:00,0.0,0,0,0,0,2,0,272,0,136,136,136.0,0.0,0,0,0,0.0,136,136,136.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0,0,0,2,0,272,0
192.168.54.129,239.255.255.250,45949,1900,17,2026-07-15 17:02:00,3.9e-05,11564102.564102564,76923.07692307692,76923.07692307692,0.0,3,0,451,0,179,136,150.33333333333334,20.270394394014364,0,0,0,0.0,179,136,150.33333333333334,20.270394394014364,410.8888888888889,60,0,20,3,1.95e-05,3.9e-05,0.0,1.95e-05,3.9e-05,3.9e-05,0.0,1.95e-05,1.95e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,150.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.33333333333334,0,0,3,0,451,0
192.168.54.129,172.238.6.179,41641,3478,17,2026-07-15 17:02:00,0.032011,7434.9442379182165,93.71778451157415,62.4785230077161,31.23926150385805,2,1,164,74,82,82,82.0,0.0,74,74,74.0,0.0,82,74,79.33333333333333,3.7712361663282534,14.222222222222221,40,20,20,2,0.0160055,0.032011,0.0,0.0160055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,79.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,74.0,0,2,1,164,74
192.168.54.129,172.237.72.43,41641,3478,17,2026-07-15 17:02:00,0.082355,2889.927751806205,36.427660737053,24.285107158035334,12.142553579017667,2,1,164,74,82,82,82.0,0.0,74,74,74.0,0.0,82,74,79.33333333333333,3.7712361663282534,14.222222222222221,40,20,20,2,0.0411775,0.082355,0.0,0.0411775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,79.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,74.0,0,2,1,164,74
192.168.54.129,192.168.54.2,60644,5351,17,2026-07-15 17:02:00,2.3e-05,6173913.043478261,130434.78260869565,130434.78260869565,0.0,3,0,142,0,54,44,47.333333333333336,4.714045207910317,0,0,0,0.0,54,44,47.333333333333336,4.714045207910317,22.222222222222225,60,0,20,3,1.15e-05,2.3e-05,0.0,1.15e-05,2.3e-05,2.3e-05,0.0,1.15e-05,1.15e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.333333333333336,0,0,3,0,142,0
192.168.54.129,199.165.136.101,50138,443,6,2026-07-15 17:02:01,0.230273,6492.293929379475,21.713357623342727,13.028014574005637,8.68534304933709,3,2,1284,211,615,54,428.0,264.45793616376875,151,60,105.5,45.5,615,54,299.0,260.2929119280815,67752.4,60,40,20,2,0.05756825,0.229914,0.0,0.09950392450646105,0.230273,0.230273,0.0,0.1151365,0.1151365,0,0,0,0,0,2,1,0,0,0,0,0,3,5,0,0,0.6666666666666666,299.0,65535,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.0,105.5,0,3,2,1284,211
192.168.54.128,172.238.6.179,53736,443,6,2026-07-15 17:02:06,0.0,0,0,0,0,2,0,120,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,60.0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,2,0,120,0
