src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.17.0.1,172.17.0.2,45454,80,6,2026-07-16 10:06:49,0.000412,5072815.533980583,31553.398058252427,19417.47572815534,12135.922330097088,8,5,618,1472,140,66,77.25,23.956992716115266,962,66,294.4,346.03213723583536,962,66,160.76923076923077,239.93144977621418,57567.10059171599,160,100,20,1,3.433333333333334e-05,0.000117,0.0,3.5019835649084494e-05,0.00041200000000000004,0.000142,0.0,5.885714285714285e-05,4.250186070356575e-05,0.00036700000000000003,0.000142,3.3e-05,9.175000000000001e-05,4.151731566467177e-05,1,2,0,0,2,3,0,3,11,0,0,0.625,160.76923076923077,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.25,294.4,0,8,5,618,1472
172.17.0.1,172.17.0.2,45456,80,6,2026-07-16 10:06:49,0.000576,3640625.0,22569.444444444445,13888.888888888889,8680.555555555555,8,5,625,1472,147,66,78.125,26.250892841958727,962,66,294.4,346.03213723583536,962,66,161.30769230769232,239.89208619242,57548.21301775148,160,100,20,1,4.8e-05,0.000199,0.0,6.770278182369369e-05,0.000576,0.00021,0.0,8.228571428571429e-05,7.72985201959895e-05,0.000526,0.00024,1.4e-05,0.0001315,9.15928490658523e-05,1,2,0,0,2,3,0,3,11,0,0,0.625,161.30769230769232,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.125,294.4,0,8,5,625,1472
172.17.0.1,172.17.0.2,45478,80,6,2026-07-16 10:06:49,0.000486,4300411.522633745,26748.971193415637,16460.90534979424,10288.0658436214,8,5,618,1472,140,66,77.25,23.956992716115266,962,66,294.4,346.03213723583536,962,66,160.76923076923077,239.93144977621418,57567.10059171599,160,100,20,1,4.05e-05,0.000164,0.0,5.0466985908281326e-05,0.000486,0.000172,0.0,6.942857142857143e-05,6.552176768690179e-05,0.000455,0.00021,4e-05,0.00011375,6.4839706199211e-05,1,2,0,0,2,3,0,3,11,0,0,0.625,160.76923076923077,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.25,294.4,0,8,5,618,1472
172.17.0.1,172.17.0.2,45482,80,6,2026-07-16 10:06:49,0.000248,8455645.161290321,52419.354838709674,32258.06451612903,20161.290322580644,8,5,625,1472,147,66,78.125,26.250892841958727,962,66,294.4,346.03213723583536,962,66,161.30769230769232,239.89208619242,57548.21301775148,160,100,20,1,2.0666666666666663e-05,5.6e-05,0.0,1.9344824171395877e-05,0.000248,8.1e-05,0.0,3.542857142857143e-05,2.5116057145392315e-05,0.000231,8.2e-05,3.2e-05,5.7749999999999994e-05,1.778166190208328e-05,1,2,0,0,2,3,0,3,11,0,0,0.625,161.30769230769232,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.125,294.4,0,8,5,625,1472
172.17.0.1,172.17.0.2,45492,80,6,2026-07-16 10:06:49,0.000322,6490683.229813664,40372.67080745341,24844.72049689441,15527.950310559005,8,5,618,1472,140,66,77.25,23.956992716115266,962,66,294.4,346.03213723583536,962,66,160.76923076923077,239.93144977621418,57567.10059171599,160,100,20,1,2.683333333333333e-05,9.7e-05,0.0,2.6327531006322813e-05,0.000322,0.000126,0.0,4.6e-05,3.6371103129505743e-05,0.000293,9.7e-05,4e-05,7.324999999999999e-05,2.3263436977368584e-05,1,2,0,0,2,3,0,3,11,0,0,0.625,160.76923076923077,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.25,294.4,0,8,5,618,1472
172.17.0.1,172.17.0.2,45500,80,6,2026-07-16 10:06:49,0.000355,5907042.253521127,36619.718309859156,22535.211267605635,14084.507042253521,8,5,625,1472,147,66,78.125,26.250892841958727,962,66,294.4,346.03213723583536,962,66,161.30769230769232,239.89208619242,57548.21301775148,160,100,20,1,2.9583333333333335e-05,0.000175,0.0,4.722544923614338e-05,0.000355,0.000188,0.0,5.071428571428571e-05,5.9324083969122606e-05,0.00034,0.000175,1.8e-05,8.5e-05,6.228563237216108e-05,1,2,0,0,2,3,0,3,11,0,0,0.625,161.30769230769232,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.125,294.4,0,8,5,625,1472
172.17.0.1,172.17.0.2,45510,80,6,2026-07-16 10:06:49,0.000423,4940898.345153664,30732.860520094564,18912.529550827425,11820.33096926714,8,5,618,1472,140,66,77.25,23.956992716115266,962,66,294.4,346.03213723583536,962,66,160.76923076923077,239.93144977621418,57567.10059171599,160,100,20,1,3.5249999999999996e-05,0.000137,0.0,3.994397117630311e-05,0.00042300000000000004,0.000143,0.0,6.042857142857143e-05,4.701628028933061e-05,0.000394,0.000208,3.5e-05,9.849999999999998e-05,6.562202374203343e-05,1,2,0,0,2,3,0,3,11,0,0,0.625,160.76923076923077,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.25,294.4,0,8,5,618,1472
172.17.0.1,172.17.0.2,45512,80,6,2026-07-16 10:06:49,0.000312,6721153.846153846,41666.666666666664,25641.02564102564,16025.641025641025,8,5,625,1472,147,66,78.125,26.250892841958727,962,66,294.4,346.03213723583536,962,66,161.30769230769232,239.89208619242,57548.21301775148,160,100,20,1,2.6000000000000005e-05,7.6e-05,0.0,2.3237900077244502e-05,0.000312,0.000101,0.0,4.4571428571428574e-05,2.981302276741847e-05,0.000279,9.3e-05,3.4e-05,6.975e-05,2.1775846711436964e-05,1,2,0,0,2,3,0,3,11,0,0,0.625,161.30769230769232,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.125,294.4,0,8,5,625,1472
172.17.0.1,172.17.0.2,45530,80,6,2026-07-16 10:06:50,0.000372,5618279.5698924735,34946.23655913978,21505.376344086024,13440.860215053764,8,5,618,1472,140,66,77.25,23.956992716115266,962,66,294.4,346.03213723583536,962,66,160.76923076923077,239.93144977621418,57567.10059171599,160,100,20,1,3.1e-05,0.000106,0.0,3.217400607115419e-05,0.000372,0.000112,0.0,5.314285714285714e-05,4.0069327676018764e-05,0.000344,0.000161,4.1e-05,8.6e-05,4.5552167895721496e-05,1,2,0,0,2,3,0,3,11,0,0,0.625,160.76923076923077,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.25,294.4,0,8,5,618,1472
172.17.0.1,172.17.0.2,45532,80,6,2026-07-16 10:06:50,0.000621,3376811.5942028984,20933.977455716584,12882.447665056361,8051.529790660225,8,5,625,1472,147,66,78.125,26.250892841958727,962,66,294.4,346.03213723583536,962,66,161.30769230769232,239.89208619242,57548.21301775148,160,100,20,1,5.1750000000000004e-05,0.000272,0.0,7.591017169435639e-05,0.000621,0.000272,0.0,8.87142857142857e-05,9.475640089304829e-05,0.000591,0.000302,4.9e-05,0.00014774999999999999,9.517976413082774e-05,1,2,0,0,2,3,0,3,11,0,0,0.625,161.30769230769232,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.125,294.4,0,8,5,625,1472
