src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.17.0.1,172.17.0.2,38382,80,6,2026-07-16 10:31:57,90.353494,52.2392637079425,0.7193966400458183,0.3762997809470434,0.34309685909877485,34,31,2658,2062,93,66,78.17647058823529,7.093785964346435,74,66,66.51612903225806,1.9653608015132666,93,66,72.61538461538461,7.879266478339617,62.082840236686394,680,620,20,27,1.41177334375,5.014072,0.0,2.2454319679467174,90.353486,5.014076,0.0,2.7379844242424243,2.479460469926704,90.353489,5.014076,9e-06,3.0117829666666665,2.4366691221186416,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.61538461538461,64240,65160,0,0,0,0,0,0,0,0,102.5,5.0,0,0,2775.220663886933448854713814,0,78.17647058823529,66.51612903225806,0,34,31,2658,2062
172.17.0.1,172.17.0.2,38464,80,6,2026-07-16 10:31:57,90.353027,52.22846601475787,0.7194003583299982,0.3763017258956914,0.3430986324343068,34,31,2657,2062,93,66,78.1470588235294,7.100672515544592,74,66,66.51612903225806,1.9653608015132666,93,66,72.6,7.871662907103996,61.96307692307693,680,620,20,27,1.411766046875,5.014029,0.0,2.2454355707862286,90.353022,5.014033,0.0,2.7379703636363635,2.4794642990039115,90.353017,5.014032,9e-06,3.0117672333333334,2.436685997821025,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.6,64240,65160,0,0,0,0,0,0,0,0,102.5,5.0,0,0,2861.609760183143024651721154,0,78.1470588235294,66.51612903225806,0,34,31,2657,2062
172.17.0.1,172.17.0.2,38474,80,6,2026-07-16 10:31:57,90.352979,52.21742605741865,0.7194007405112786,0.37630192580589955,0.343098814705379,34,31,2656,2062,93,66,78.11764705882354,7.107430684449624,74,66,66.51612903225806,1.9653608015132666,93,66,72.58461538461539,7.864021886839227,61.84284023668639,680,620,20,27,1.411765296875,5.014024,0.0,2.2454352622682485,90.352976,5.014028,0.0,2.73796896969697,2.4794642517365366,90.352975,5.014029,8e-06,3.0117658333333335,2.4366869109245597,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.58461538461539,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,2887.904446812089945606459934,0,78.11764705882354,66.51612903225806,0,34,31,2656,2062
172.17.0.1,172.17.0.2,38542,80,6,2026-07-16 10:31:57,90.352746,52.20649298251544,0.71940259568868,0.37630289620638646,0.3430996994822936,34,31,2655,2062,93,66,78.08823529411765,7.068437081007801,74,66,66.51612903225806,1.9653608015132666,93,66,72.56923076923077,7.8347730432382825,61.38366863905326,680,620,20,27,1.41176165625,5.014002,0.0,2.245446806548784,90.352742,5.014006,0.0,2.7379618787878788,2.479464969835822,90.352743,5.014011,8e-06,3.0117581,2.4367128626399723,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.56923076923077,64240,65160,0,0,0,0,0,0,0,0,102.0,5.0,0,0,2917.161201756016644978621784,0,78.08823529411765,66.51612903225806,0,34,31,2655,2062
172.17.0.1,172.17.0.2,38556,80,6,2026-07-16 10:31:57,90.352554,52.2619427005904,0.7194041244257467,0.3763036958534675,0.34310042857227924,34,31,2660,2062,93,66,78.23529411764706,7.079626209513888,74,66,66.51612903225806,1.9653608015132666,93,66,72.64615384615385,7.894361706025517,62.32094674556212,680,620,20,27,1.41175865625,5.014001,0.0,2.245444628735304,90.35255,5.014007,0.0,2.7379560606060607,2.47946369414964,90.352551,5.014004,8e-06,3.0117516999999996,2.436714685832643,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.64615384615385,64240,65160,0,0,0,0,0,0,0,0,102.5,5.0,0,0,2946.714772384251606318906409,0,78.23529411764706,66.51612903225806,0,34,31,2660,2062
172.17.0.1,172.17.0.2,38588,80,6,2026-07-16 10:31:57,90.352386,52.27310765207684,0.7194054620760099,0.3763043955474513,0.34310106652855854,34,31,2661,2062,93,66,78.26470588235294,7.072352231751852,74,66,66.51612903225806,1.9653608015132666,93,66,72.66153846153846,7.901853576271102,62.4392899408284,680,620,20,27,1.4117560312500002,5.013993,0.0,2.245445636989195,90.352383,5.013999,0.0,2.7379510000000002,2.479463685294915,90.352382,5.014001,9e-06,3.0117460666666673,2.4367183609128205,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.66153846153846,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,2986.979091146361975466171737,0,78.26470588235294,66.51612903225806,0,34,31,2661,2062
172.17.0.1,172.17.0.2,38612,80,6,2026-07-16 10:31:57,90.3522,52.22894406555679,0.7194069430517465,0.37630517021168275,0.34310177284006366,34,31,2657,2062,93,66,78.1470588235294,7.054962179167296,74,66,66.51612903225806,1.9653608015132666,93,66,72.6,7.850134736717287,61.62461538461538,680,620,20,27,1.4117531250000002,5.013992,0.0,2.24544650857286,90.352191,5.013997,0.0,2.7379451818181817,2.479465821978505,90.352196,5.013995,8e-06,3.011739866666667,2.4367249972275733,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.6,64240,65160,0,0,0,0,0,0,0,0,102.0,5.0,0,0,2975.539316501115827243687918,0,78.1470588235294,66.51612903225806,0,34,31,2657,2062
172.17.0.1,172.17.0.2,38622,80,6,2026-07-16 10:31:57,90.352148,52.22897412466608,0.7194073570890644,0.3763053867850491,0.34310197030401535,34,31,2657,2062,93,66,78.1470588235294,7.104813417847238,74,66,66.51612903225806,1.9653608015132666,93,66,72.6,7.873617094693275,61.993846153846164,680,620,20,27,1.4117523125,5.01398,0.0,2.245444909118875,90.35213900000001,5.013994,0.0,2.7379436060606066,2.4794663394293557,90.352144,5.013984,8e-06,3.011738133333333,2.4367270001820986,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.6,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,3012.400561534861956013102480,0,78.1470588235294,66.51612903225806,0,34,31,2657,2062
172.17.0.1,172.17.0.2,38682,80,6,2026-07-16 10:31:57,90.351828,52.21809125986914,0.7194099050215121,0.37630671954971406,0.3431031854717981,34,31,2656,2062,93,66,78.11764705882354,7.111567651627018,74,66,66.51612903225806,1.9653608015132666,93,66,72.58461538461539,7.86597797272886,61.87360946745563,680,620,20,27,1.4117473125,5.013963,0.0,2.245427128240331,90.35182,5.013967,0.0,2.737933939393939,2.4796803449250167,90.351824,5.013966,8e-06,3.0117274666666662,2.436702846183817,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.58461538461539,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,3053.389855630984495894228204,0,78.11764705882354,66.51612903225806,0,34,31,2656,2062
172.17.0.1,172.17.0.2,38686,80,6,2026-07-16 10:31:57,90.35176,52.27346982504823,0.7194104464594824,0.37630700276342155,0.34310344369606083,34,31,2661,2062,93,66,78.26470588235294,7.072352231751852,74,66,66.51612903225806,1.9653608015132666,93,66,72.66153846153846,7.901853576271102,62.4392899408284,680,620,20,27,1.41174625,5.01396,0.0,2.2454275992175745,90.351757,5.013964,0.0,2.73793203030303,2.4796807946932677,90.351756,5.013964,8e-06,3.0117252,2.436705417437329,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.66153846153846,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,3060.693856325681598692519129,0,78.26470588235294,66.51612903225806,0,34,31,2661,2062
172.17.0.1,172.17.0.2,38822,80,6,2026-07-16 10:31:57,90.350825,52.240806876970964,0.7194178913142187,0.3763108969951298,0.343106994319089,34,31,2658,2062,93,66,78.17647058823529,7.097930884234521,74,66,66.51612903225806,1.9653608015132666,93,66,72.61538461538461,7.881218780585629,62.113609467455625,680,620,20,27,1.411731640625,5.013922,0.0,2.245489359815148,90.350821,5.013927,0.0,2.737903666666667,2.4796985973216725,90.350821,5.013926,8e-06,3.0116940333333337,2.436846163938948,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.61538461538461,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,3236.093438270732205413387373,0,78.17647058823529,66.51612903225806,0,34,31,2658,2062
172.17.0.1,172.17.0.2,38904,80,6,2026-07-16 10:31:57,90.350352,52.16360418828252,0.719421657593542,0.3763128670489297,0.34310879054461235,34,31,2651,2062,93,66,77.97058823529412,7.097991820879576,74,66,66.51612903225806,1.9653608015132666,93,66,72.50769230769231,7.805566212987078,60.92686390532545,680,620,20,27,1.4117242500000002,5.0139,0.0,2.2454932945483757,90.350348,5.013904,0.0,2.7378893333333334,2.4797036638268457,90.350348,5.013903,9e-06,3.0116782666666664,2.436860466249951,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.50769230769231,64240,65160,0,0,0,0,0,0,0,0,101.5,5.0,0,0,3255.866172673178399012013023,0,77.97058823529412,66.51612903225806,0,34,31,2651,2062
172.17.0.1,172.17.0.2,38948,80,6,2026-07-16 10:31:57,90.350138,52.263340206519665,0.7194233615891101,0.3763137583696884,0.34310960321942174,34,31,2660,2062,93,66,78.23529411764706,7.079626209513888,74,66,66.51612903225806,1.9653608015132666,93,66,72.64615384615385,7.894361706025517,62.32094674556212,680,620,20,27,1.41172090625,5.013875,0.0,2.2454265659052313,90.350135,5.013886,0.0,2.737882878787879,2.479494682192599,90.350134,5.013879,8e-06,3.011671133333334,2.436732785782508,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.64615384615385,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,3357.947413891469835525779582,0,78.23529411764706,66.51612903225806,0,34,31,2660,2062
172.17.0.1,172.17.0.2,38958,80,6,2026-07-16 10:31:57,90.350083,52.21909978765598,0.7194237995332002,0.3763139874481355,0.34310981208506475,34,31,2656,2062,93,66,78.11764705882354,7.061764093392433,74,66,66.51612903225806,1.9653608015132666,93,66,72.58461538461539,7.842472741312197,61.504378698224855,680,620,20,27,1.4117200468750002,5.013875,0.0,2.24542692759956,90.35008,5.013879,0.0,2.737881212121212,2.479494901219623,90.350079,5.013886,9e-06,3.0116693,2.4367347917510593,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.58461538461539,64240,65160,0,0,0,0,0,0,0,0,102.5,5.0,0,0,3350.713456792141351073045553,0,78.11764705882354,66.51612903225806,0,34,31,2656,2062
172.17.0.1,172.17.0.2,38964,80,6,2026-07-16 10:31:57,90.350025,52.23020137515181,0.7194242613657273,0.37631422902207273,0.34311003234365456,34,31,2657,2062,93,66,78.1470588235294,7.100672515544592,74,66,66.51612903225806,1.9653608015132666,93,66,72.6,7.871662907103996,61.96307692307693,680,620,20,27,1.4117191406250003,5.013882,0.0,2.245427372690719,90.350022,5.013886,0.0,2.7378794545454546,2.4794954969020453,90.350021,5.013886,9e-06,3.011667366666667,2.436736078655852,27,0,0,0,2,5,0,27,62,0,0,0.9117647058823529,72.6,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,3376.661694559640696969200256,0,78.1470588235294,66.51612903225806,0,34,31,2657,2062
172.17.0.1,172.17.0.2,38348,80,6,2026-07-16 10:31:57,60.167209,47.98294699027838,0.6648139520648199,0.34902732483403043,0.31578662723078943,21,19,1625,1262,93,66,77.38095238095238,6.903940837881689,74,66,66.42105263157895,1.7863750261554885,93,66,72.175,7.516274010438949,56.49437500000001,420,380,20,16,1.5427489487179489,5.012838,0.0,2.3026037660058574,60.167182000000004,5.012868,0.0,3.0083591,2.4353337958006476,60.167184999999996,5.012867,9e-06,3.3426213888888885,2.3391420404494023,16,0,0,0,2,3,0,16,38,0,0,0.9047619047619048,72.175,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,2064.210990420457733776904886,0,77.38095238095238,66.42105263157895,0,21,19,1625,1262
