src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.17.0.1,172.17.0.2,36084,80,6,2026-07-15 02:57:51,0.000511,4277886.497064579,25440.31311154599,13698.630136986303,11741.682974559688,7,6,653,1533,241,66,93.28571428571429,60.40509506824803,962,66,255.5,327.0340196371014,962,66,168.15384615384616,240.55411870028044,57866.28402366862,140,120,20,1,4.2583333333333336e-05,0.000206,0.0,6.215633292128985e-05,0.000501,0.000226,0.0,8.349999999999998e-05,8.057863654013182e-05,0.000471,0.000206,1.3e-05,9.419999999999999e-05,7.449402660616487e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,168.15384615384616,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.28571428571429,255.5,0,7,6,653,1533
172.17.0.1,172.17.0.2,36086,80,6,2026-07-15 02:57:51,0.000401,5478802.992518703,32418.952618453866,17456.35910224439,14962.593516209477,7,6,664,1533,252,66,94.85714285714286,64.24824304752526,962,66,255.5,327.0340196371014,962,66,169.0,240.8280586770442,57998.153846153844,140,120,20,1,3.341666666666667e-05,0.000115,0.0,3.540823429028275e-05,0.00038899999999999997,0.00014,0.0,6.483333333333334e-05,5.1579765627833385e-05,0.000361,0.000115,3.1e-05,7.219999999999999e-05,3.5628078814328455e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,169.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.85714285714286,255.5,0,7,6,664,1533
172.17.0.1,172.17.0.2,36090,80,6,2026-07-15 02:57:51,0.000351,5891737.891737891,31339.03133903134,17094.017094017094,14245.014245014245,6,5,601,1467,255,66,100.16666666666667,69.33593745109546,962,66,293.4,346.010173260845,962,66,188.0,257.4868046045361,66299.45454545454,120,100,20,1,3.51e-05,0.000174,0.0,4.916187547276853e-05,0.000341,0.000174,0.0,6.82e-05,6.2942513454739e-05,0.000341,0.000198,3.6e-05,8.525e-05,6.583074889441863e-05,1,2,0,0,2,3,0,3,9,0,0,0.8333333333333334,188.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.16666666666667,293.4,0,6,5,601,1467
172.17.0.1,172.17.0.2,36094,80,6,2026-07-15 02:57:51,0.000463,4747300.215982721,28077.753779697625,15118.790496760259,12958.963282937366,7,6,665,1533,253,66,95.0,64.59765586193622,962,66,255.5,327.0340196371014,962,66,169.07692307692307,240.85471571642572,58010.99408284025,140,120,20,1,3.8583333333333334e-05,0.000144,0.0,4.217317143503544e-05,0.000448,0.000174,0.0,7.466666666666667e-05,6.386096007908293e-05,0.000431,0.000144,4.2e-05,8.620000000000001e-05,4.1834913648769494e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,169.07692307692307,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,255.5,0,7,6,665,1533
172.17.0.1,172.17.0.2,36096,80,6,2026-07-15 02:57:51,0.000583,3770154.3739279592,22298.456260720413,12006.861063464838,10291.595197255576,7,6,665,1533,253,66,95.0,64.59765586193622,962,66,255.5,327.0340196371014,962,66,169.07692307692307,240.85471571642572,58010.99408284025,140,120,20,1,4.858333333333334e-05,0.000224,0.0,6.340407233678992e-05,0.0005510000000000001,0.000257,0.0,9.183333333333335e-05,8.659371930008678e-05,0.000551,0.000224,1.6e-05,0.0001102,7.629521610166655e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,169.07692307692307,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,255.5,0,7,6,665,1533
172.17.0.1,172.17.0.2,36098,80,6,2026-07-15 02:57:51,0.00029,7541379.310344827,44827.58620689655,24137.931034482757,20689.655172413793,7,6,654,1533,242,66,93.42857142857143,60.75444050286634,962,66,255.5,327.0340196371014,962,66,168.23076923076923,240.57755949002703,57877.562130177495,140,120,20,1,2.4166666666666667e-05,7.6e-05,0.0,2.3968150162710142e-05,0.000279,0.000102,0.0,4.65e-05,3.9284220750830733e-05,0.000279,8.7e-05,3e-05,5.579999999999999e-05,2.0321417273408857e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,168.23076923076923,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.42857142857143,255.5,0,7,6,654,1533
172.17.0.1,172.17.0.2,36104,80,6,2026-07-15 02:57:51,0.000715,3074125.874125874,18181.81818181818,9790.20979020979,8391.608391608392,7,6,665,1533,253,66,95.0,64.59765586193622,962,66,255.5,327.0340196371014,962,66,169.07692307692307,240.85471571642572,58010.99408284025,140,120,20,1,5.9583333333333336e-05,0.000291,0.0,8.927248394039952e-05,0.000703,0.000352,0.0,0.00011716666666666666,0.00012981578828820818,0.000688,0.000303,3.4e-05,0.0001376,0.00010342262808496021,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,169.07692307692307,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,255.5,0,7,6,665,1533
172.17.0.1,172.17.0.2,36116,80,6,2026-07-15 02:57:51,0.000786,2793893.1297709923,16539.44020356234,8905.852417302798,7633.587786259542,7,6,663,1533,251,66,94.71428571428571,63.89883586177291,962,66,255.5,327.0340196371014,962,66,168.92307692307693,240.8016935598705,57985.45562130178,140,120,20,1,6.549999999999999e-05,0.000225,0.0,8.25908590583728e-05,0.000773,0.00026,0.0,0.00012883333333333334,9.56790061728393e-05,0.000771,0.000225,2.5e-05,0.0001542,8.260363188141306e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,168.92307692307693,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.71428571428571,255.5,0,7,6,663,1533
172.17.0.1,172.17.0.2,36120,80,6,2026-07-15 02:57:51,0.00029,7544827.586206896,44827.58620689655,24137.931034482757,20689.655172413793,7,6,655,1533,243,66,93.57142857142857,61.10379259414063,962,66,255.5,327.0340196371014,962,66,168.30769230769232,240.60129311481413,57888.9822485207,140,120,20,1,2.416666666666667e-05,8.7e-05,0.0,2.586127521131848e-05,0.000278,0.000112,0.0,4.633333333333333e-05,4.172396060885027e-05,0.00028,9.9e-05,2.9e-05,5.599999999999999e-05,2.5091831340099508e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,168.30769230769232,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.57142857142857,255.5,0,7,6,655,1533
172.17.0.1,172.17.0.2,36124,80,6,2026-07-15 02:57:51,0.000536,4106343.2835820895,24253.73134328358,13059.701492537313,11194.029850746268,7,6,668,1533,256,66,95.42857142857143,65.64592717832569,962,66,255.5,327.0340196371014,962,66,169.30769230769232,240.9364373935692,58050.3668639053,140,120,20,1,4.466666666666668e-05,0.000178,0.0,5.5667664661712625e-05,0.000526,0.000185,0.0,8.766666666666667e-05,6.154853550022309e-05,0.00051,0.000187,3.5e-05,0.00010199999999999999,6.198064213930023e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,169.30769230769232,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.42857142857143,255.5,0,7,6,668,1533
172.17.0.1,172.17.0.2,36130,80,6,2026-07-15 02:57:51,0.00069,3182608.6956521743,18840.579710144928,10144.927536231884,8695.652173913044,7,6,663,1533,251,66,94.71428571428571,63.89883586177291,962,66,255.5,327.0340196371014,962,66,168.92307692307693,240.8016935598705,57985.45562130178,140,120,20,1,5.750000000000001e-05,0.000364,0.0,9.939357792801975e-05,0.000677,0.000389,0.0,0.00011283333333333334,0.00013522255318137167,0.000664,0.000377,2.9e-05,0.0001328,0.00012832209474599452,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,168.92307692307693,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.71428571428571,255.5,0,7,6,663,1533
