src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.17.0.1,172.17.0.2,50878,80,6,2026-07-14 01:21:50,0.000482,4462655.601659751,26970.954356846472,14522.821576763485,12448.132780082988,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,962,66,165.46153846153845,239.91877323685884,57561.01775147929,140,120,20,1,4.016666666666667e-05,0.000199,0.0,5.5057293391117185e-05,0.00047,0.000225,0.0,7.833333333333333e-05,7.798219169927337e-05,0.000459,0.000211,3.1e-05,9.18e-05,6.486108232214446e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,165.46153846153845,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.28571428571429,255.5,0,7,6,618,1533
172.17.0.1,172.17.0.2,50886,80,6,2026-07-14 01:21:50,0.000564,3813829.7872340423,23049.64539007092,12411.347517730495,10638.297872340425,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,962,66,165.46153846153845,239.91877323685884,57561.01775147929,140,120,20,1,4.7e-05,0.000276,0.0,7.468043027906753e-05,0.0005510000000000001,0.000302,0.0,9.183333333333335e-05,0.00010345114252094507,0.000539,0.000289,3e-05,0.00010779999999999999,9.491343424405208e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,165.46153846153845,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.28571428571429,255.5,0,7,6,618,1533
172.17.0.1,172.17.0.2,50888,80,6,2026-07-14 01:21:50,0.000513,4192982.456140351,25341.1306042885,13645.224171539961,11695.906432748538,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,962,66,165.46153846153845,239.91877323685884,57561.01775147929,140,120,20,1,4.274999999999999e-05,0.000236,0.0,6.612755981182632e-05,0.000501,0.000261,0.0,8.349999999999998e-05,9.090425365918436e-05,0.000489,0.000248,2.7e-05,9.780000000000002e-05,8.2586681735011e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,165.46153846153845,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.28571428571429,255.5,0,7,6,618,1533
172.17.0.1,172.17.0.2,50898,80,6,2026-07-14 01:21:50,0.000437,4922196.796338673,29748.28375286041,16018.306636155607,13729.977116704806,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,962,66,165.46153846153845,239.91877323685884,57561.01775147929,140,120,20,1,3.641666666666667e-05,0.000165,0.0,4.953863531516476e-05,0.00042500000000000003,0.000189,0.0,7.083333333333334e-05,7.11533945469614e-05,0.000416,0.000177,2.7e-05,8.32e-05,5.728664765894405e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,165.46153846153845,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.28571428571429,255.5,0,7,6,618,1533
172.17.0.1,172.17.0.2,50906,80,6,2026-07-14 01:21:50,70.773467,59.73990224330822,0.35323972471208737,0.18368465685028545,0.16955506786180194,13,12,1162,3066,206,66,89.38461538461539,49.8328567259339,962,66,255.5,327.0340196371014,962,66,169.12,243.95791768253804,59515.4656,260,240,20,2,2.9488944583333336,70.772492,0.0,14.142197700746989,70.773455,70.772504,0.0,5.897787916666665,19.560462875528998,70.773443,70.772517,3.1e-05,6.4339493636363665,20.34564151245742,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769231,169.12,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.38461538461539,255.5,0,13,12,1162,3066
172.17.0.1,172.17.0.2,50910,80,6,2026-07-14 01:21:50,0.000431,4990719.257540603,30162.41299303944,16241.299303944315,13921.113689095127,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,962,66,165.46153846153845,239.91877323685884,57561.01775147929,140,120,20,1,3.591666666666667e-05,0.000178,0.0,5.054446612197576e-05,0.00042,0.000204,0.0,7.000000000000001e-05,7.323250644351865e-05,0.000411,0.000189,3e-05,8.22e-05,5.9887895271081286e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,165.46153846153845,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.28571428571429,255.5,0,7,6,618,1533
172.17.0.1,172.17.0.2,50918,80,6,2026-07-14 01:21:50,70.721857,59.78349804926644,0.3534975050216795,0.18381870261127334,0.16967880241040617,13,12,1162,3066,206,66,89.38461538461539,49.8328567259339,962,66,255.5,327.0340196371014,962,66,169.12,243.95791768253804,59515.4656,260,240,20,2,2.946744041666667,70.720619,0.0,14.131829825582118,70.721844,70.720633,0.0,5.893487,19.54611995595403,70.72182099999999,70.720642,2.9e-05,6.429256454545453,20.33072122546031,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769231,169.12,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.38461538461539,255.5,0,13,12,1162,3066
172.17.0.1,172.17.0.2,50932,80,6,2026-07-14 01:21:50,0.000503,4276341.94831014,25844.93041749503,13916.500994035787,11928.429423459245,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,962,66,165.46153846153845,239.91877323685884,57561.01775147929,140,120,20,1,4.1916666666666665e-05,0.000173,0.0,5.4774474489086207e-05,0.000491,0.000204,0.0,8.183333333333333e-05,8.063584121771714e-05,0.000482,0.000185,3.7e-05,9.639999999999999e-05,5.928777276977101e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,165.46153846153845,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.28571428571429,255.5,0,7,6,618,1533
172.17.0.1,172.17.0.2,50946,80,6,2026-07-14 01:21:50,0.00051,4217647.058823529,25490.19607843137,13725.49019607843,11764.70588235294,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,962,66,165.46153846153845,239.91877323685884,57561.01775147929,140,120,20,1,4.2499999999999996e-05,0.000228,0.0,6.343040806006742e-05,0.000498,0.000256,0.0,8.3e-05,9.026442636313967e-05,0.000487,0.00024,3.2e-05,9.740000000000001e-05,7.756700329392648e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,165.46153846153845,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.28571428571429,255.5,0,7,6,618,1533
172.17.0.1,172.17.0.2,50952,80,6,2026-07-14 01:21:50,0.000442,4866515.837104072,29411.764705882353,15837.10407239819,13574.660633484162,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,962,66,165.46153846153845,239.91877323685884,57561.01775147929,140,120,20,1,3.683333333333333e-05,0.00016,0.0,4.649522078187774e-05,0.000431,0.000193,0.0,7.183333333333332e-05,6.51598461903921e-05,0.000421,0.000171,1.8e-05,8.420000000000001e-05,5.425642819058402e-05,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,165.46153846153845,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.28571428571429,255.5,0,7,6,618,1533
