src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.17.0.1,172.17.0.2,45544,80,6,2026-07-15 02:09:18,20.025881,83.74163413834329,1.1485137657614166,0.6491599545608007,0.4993538112006159,13,10,1009,668,93,66,77.61538461538461,8.766531298405154,74,66,66.8,2.4,93,66,72.91304347826087,8.642227186162144,74.68809073724005,260,200,20,8,0.910267318181818,5.00344,0.0,1.9294330691078045,20.025881000000002,5.003496,0.0,1.668823416666667,2.35779381568549,20.025789,5.00348,9e-06,2.2250876666666666,2.4848908792912145,8,0,0,0,2,3,0,8,21,0,0,0.7692307692307693,72.91304347826087,64240,65160,0,0,0,0,0,0,0,0,102.0,5.0,0,0,8117.787504974134500596896140,0,77.61538461538461,66.8,0,13,10,1009,668
172.17.0.1,172.17.0.2,45560,80,6,2026-07-15 02:09:18,20.025706,83.69243011956732,1.1485238023568307,0.6491656274190782,0.49935817493775253,13,10,1008,668,93,66,77.53846153846153,8.775975813508714,74,66,66.8,2.4,93,66,72.8695652173913,8.62405305615126,74.37429111531189,260,200,20,8,0.9102593636363636,5.003456,0.0,1.9294530682503725,20.025706,5.003463,0.0,1.6688088333333333,2.357809062202904,20.025695,5.003517,9e-06,2.225077222222222,2.4849098180386426,8,0,0,0,2,3,0,8,21,0,0,0.7692307692307693,72.8695652173913,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,8239.340852731781457483401328,0,77.53846153846153,66.8,0,13,10,1008,668
172.17.0.1,172.17.0.2,45572,80,6,2026-07-15 02:09:18,20.025647,83.79254862527038,1.1485271861628241,0.6491675400050745,0.49935964615774964,13,10,1010,668,93,66,77.6923076923077,8.756400870963923,74,66,66.8,2.4,93,66,72.95652173913044,8.660144897219201,74.99810964083176,260,200,20,8,0.9102566818181818,5.003451,0.0,1.9294541899275648,20.025647,5.003456,0.0,1.6688039166666666,2.3578102034573822,20.025638,5.003544,1.2e-05,2.225070888888889,2.4849210284402488,8,0,0,0,2,3,0,8,21,0,0,0.7692307692307693,72.95652173913044,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,8287.070560785260278381205246,0,77.6923076923077,66.8,0,13,10,1010,668
172.17.0.1,172.17.0.2,45580,80,6,2026-07-15 02:09:18,20.025594,83.74283429495274,1.1485302258699541,0.6491692581004088,0.49936096776954525,13,10,1009,668,93,66,77.61538461538461,8.766531298405154,74,66,66.8,2.4,93,66,72.91304347826087,8.642227186162144,74.68809073724005,260,200,20,8,0.910254272727273,5.003447,0.0,1.9294541370439744,20.025593999999998,5.003452,0.0,1.6687994999999998,2.3578124278767563,20.025584,5.003554,9e-06,2.225064888888889,2.48492683137067,8,0,0,0,2,3,0,8,21,0,0,0.7692307692307693,72.91304347826087,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,8324.577709528812737412107007,0,77.61538461538461,66.8,0,13,10,1009,668
172.17.0.1,172.17.0.2,45586,80,6,2026-07-15 02:09:18,20.025532,83.69315731537121,1.1485337817741872,0.6491712679593232,0.49936251381486396,13,10,1008,668,93,66,77.53846153846153,8.775975813508714,74,66,66.8,2.4,93,66,72.8695652173913,8.62405305615126,74.37429111531189,260,200,20,8,0.9102514545454544,5.003435,0.0,1.929452385198211,20.025532,5.003447,0.0,1.6687943333333333,2.3578141139343565,20.025514,5.003553,8e-06,2.225057111111111,2.4849335384128017,8,0,0,0,2,3,0,8,21,0,0,0.7692307692307693,72.8695652173913,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,8368.540786480337991550211245,0,77.53846153846153,66.8,0,13,10,1008,668
172.17.0.1,172.17.0.2,45592,80,6,2026-07-15 02:09:18,20.025491,83.79320137518727,1.148536133271339,0.6491725970664091,0.49936353620493,13,10,1010,668,93,66,77.6923076923077,8.756400870963923,74,66,66.8,2.4,93,66,72.95652173913044,8.660144897219201,74.99810964083176,260,200,20,8,0.9102495909090909,5.003437,0.0,1.9294528950592482,20.025491,5.003442,0.0,1.6687909166666668,2.357813856441084,20.025481,5.003582,9e-06,2.2250534444444443,2.484938584325045,8,0,0,0,2,3,0,8,21,0,0,0.7692307692307693,72.95652173913044,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,8401.990374418794355167631944,0,77.6923076923077,66.8,0,13,10,1010,668
172.17.0.1,172.17.0.2,45598,80,6,2026-07-15 02:09:18,20.025429,83.79346080426043,1.1485396892121513,0.6491746069459985,0.4993650822661527,13,10,1010,668,93,66,77.6923076923077,8.756400870963923,74,66,66.8,2.4,93,66,72.95652173913044,8.660144897219201,74.99810964083176,260,200,20,8,0.9102467727272728,5.003434,0.0,1.9294536220749345,20.025429,5.003438,0.0,1.6687857499999998,2.357815017841099,20.025419,5.003592,9e-06,2.225046555555556,2.484946513084073,8,0,0,0,2,3,0,8,21,0,0,0.7692307692307693,72.95652173913044,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,8437.781600720897845498484476,0,77.6923076923077,66.8,0,13,10,1010,668
172.17.0.1,172.17.0.2,45604,80,6,2026-07-15 02:09:18,20.025369,83.64390189264427,1.1485431304661602,0.6491765520026123,0.49936657846354787,13,10,1007,668,93,66,77.46153846153847,8.810966808170063,74,66,66.8,2.4,93,66,72.82608695652173,8.620764486996768,74.31758034026464,260,200,20,8,0.9102440454545455,5.003426,0.0,1.9294509947206717,20.025369,5.003435,0.0,1.66878075,2.357817636016553,20.025357,5.003572,1e-05,2.2250396666666665,2.4849488360912653,8,0,0,0,2,3,0,8,21,0,0,0.7692307692307693,72.82608695652173,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,8487.845076225793160280181294,0,77.46153846153847,66.8,0,13,10,1007,668
172.17.0.1,172.17.0.2,45610,80,6,2026-07-15 02:09:18,20.025281,83.7441432157681,1.1485481776760087,0.6491794047733962,0.49936877290261245,13,10,1009,668,93,66,77.61538461538461,8.766531298405154,74,66,66.8,2.4,93,66,72.91304347826087,8.642227186162144,74.68809073724005,260,200,20,8,0.9102400454545456,5.003392,0.0,1.929453101893654,20.025281,5.003411,0.0,1.6687734166666666,2.3578212109702554,20.025272,5.003549,8e-06,2.2250302222222222,2.4849572596621265,8,0,0,0,2,3,0,8,21,0,0,0.7692307692307693,72.91304347826087,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,8535.675810060495566420817104,0,77.61538461538461,66.8,0,13,10,1009,668
172.17.0.1,172.17.0.2,45614,80,6,2026-07-15 02:09:18,20.025221,83.79433115869234,1.1485516189808842,0.6491813498587606,0.49937026912212357,13,10,1010,668,93,66,77.6923076923077,8.756400870963923,74,66,66.8,2.4,93,66,72.95652173913044,8.660144897219201,74.99810964083176,260,200,20,8,0.9102373181818184,5.003386,0.0,1.9294530724820673,20.025221,5.003391,0.0,1.6687684166666668,2.3578234830826665,20.025209,5.003541,9e-06,2.2250232222222217,2.4849632685003513,8,0,0,0,2,3,0,8,21,0,0,0.7692307692307693,72.95652173913044,64240,65160,0,0,0,0,0,0,0,0,103.0,5.0,0,0,8584.048670722560213351112593,0,77.6923076923077,66.8,0,13,10,1010,668
