src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.17.0.1,172.17.0.2,37072,80,6,2026-07-16 08:22:19,0.0024192333221435547,916406.0281856706,5373.603232482507,2893.478663644427,2480.12456883808,7,6,684,1533,272,66,97.71428571428571,71.23745861696696,962,66,255.5,327.0340196371014,962,66,170.53846153846155,241.41652973316135,58281.94082840238,140,120,20,1,0.00020160277684529623,0.0020291805267333984,0.0,0.0005534666585969057,0.0024089813232421875,0.0020291805267333984,0.0,0.00040149688720703125,0.0007308046199248702,0.0023703575134277344,0.002051830291748047,1.4066696166992188e-05,0.0004740715026855469,0.0007916558952769701,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,170.53846153846155,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.71428571428571,255.5,0,7,6,684,1533
172.17.0.1,172.17.0.2,37088,80,6,2026-07-16 08:22:19,0.0032367706298828125,688031.4531526223,4016.3488509133767,2162.649381261049,1853.6994696523277,7,6,694,1533,282,66,99.14285714285714,74.73272102524257,962,66,255.5,327.0340196371014,962,66,171.30769230769232,241.75428867896954,58445.13609467454,140,120,20,1,0.0002697308858235677,0.0022051334381103516,0.0,0.0006308389306529694,0.003222942352294922,0.0022051334381103516,0.0,0.0005371570587158203,0.0008130425224640687,0.0032265186309814453,0.002240896224975586,1.8596649169921875e-05,0.000645303726196289,0.0008659483786926587,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,171.30769230769232,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.14285714285714,255.5,0,7,6,694,1533
172.17.0.1,172.17.0.2,37098,80,6,2026-07-16 08:22:19,0.004019498825073242,319442.81013108726,2736.659588350436,1492.7234118275105,1243.9361765229255,6,5,643,641,297,66,107.16666666666667,84.97140041736918,369,66,128.2,120.43986051137722,369,66,116.72727272727273,103.1575061465726,10641.471074380162,120,100,20,1,0.00040194988250732424,0.002236604690551758,0.0,0.000747509200840433,0.0040090084075927734,0.002236604690551758,0.0,0.0008018016815185547,0.0008961856344391488,0.004011631011962891,0.0023818016052246094,1.1205673217773438e-05,0.0010029077529907227,0.0010077890236749277,1,1,0,0,2,3,0,2,9,0,0,0.8333333333333334,116.72727272727273,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.16666666666667,128.2,0,6,5,643,641
172.17.0.1,172.17.0.2,37114,80,6,2026-07-16 08:22:19,1.2005705833435059,2163.971061796925,12.494059248250144,6.66349826573341,5.830560982516734,8,7,991,1607,291,66,123.875,95.68233575221709,962,66,229.57142857142858,309.3642592445986,962,66,173.2,228.74912021688738,52326.15999999999,160,140,20,2,0.08575504166739327,1.1942870616912842,0.0,0.307454205119944,1.2005705833435059,1.199408769607544,0.0,0.17151008333478654,0.41963793991373155,1.1954493522644043,1.1942870616912842,2.2172927856445312e-05,0.19924155871073404,0.4449979296382046,2,2,0,0,2,4,0,4,13,0,0,0.875,173.2,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.875,229.57142857142858,0,8,7,991,1607
172.17.0.1,172.17.0.2,37118,80,6,2026-07-16 08:22:19,0.0050356388092041016,442446.34780550166,2581.5989773211495,1390.0917570190804,1191.507220302069,7,6,695,1533,283,66,99.28571428571429,75.0822678052249,962,66,255.5,327.0340196371014,962,66,171.3846153846154,241.78965380344653,58462.23668639052,140,120,20,1,0.0004196365674336751,0.004539966583251953,0.0,0.0012447458505611307,0.005022525787353516,0.004539966583251953,0.0,0.0008370876312255859,0.0016597771223557738,0.005028486251831055,0.004567861557006836,3.600120544433594e-05,0.001005697250366211,0.0017838692249561455,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,171.3846153846154,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.28571428571429,255.5,0,7,6,695,1533
172.17.0.1,172.17.0.2,37124,80,6,2026-07-16 08:22:19,1.1986944675445557,2504.391303439811,14.18209598883304,7.508168464676316,6.673927524156725,9,8,1034,1968,282,66,114.88888888888889,87.26516989351026,962,66,246.0,293.6362545735795,962,66,176.58823529411765,221.10951740058843,48889.41868512111,180,160,20,2,0.07491840422153473,1.1926894187927246,0.0,0.28860880672195355,1.1986944675445557,1.1926977634429932,0.0,0.14983680844306946,0.39416635271759776,1.1958246231079102,1.1927099227905273,1.0251998901367188e-05,0.17083208901541574,0.4171811070614821,2,3,0,0,3,3,0,5,15,0,0,0.8888888888888888,176.58823529411765,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.88888888888889,246.0,0,9,8,1034,1968
172.17.0.1,172.17.0.2,37140,80,6,2026-07-16 08:22:19,0.006009340286254883,370756.17187066056,2163.299027970641,1164.853322753422,998.4457052172188,7,6,695,1533,283,66,99.28571428571429,75.0822678052249,962,66,255.5,327.0340196371014,962,66,171.3846153846154,241.78965380344653,58462.23668639052,140,120,20,1,0.0005007783571879069,0.0032052993774414062,0.0,0.001063254112754993,0.005995512008666992,0.0032052993774414062,0.0,0.0009992520014444988,0.0013419889459481583,0.006001949310302734,0.003268003463745117,2.9087066650390625e-05,0.001200389862060547,0.0014031158379020393,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,171.3846153846154,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.28571428571429,255.5,0,7,6,695,1533
172.17.0.1,172.17.0.2,37146,80,6,2026-07-16 08:22:19,0.002116680145263672,606610.3104302771,5196.8173011939625,2834.6276188330703,2362.189682360892,6,5,643,641,297,66,107.16666666666667,84.97140041736918,369,66,128.2,120.43986051137722,369,66,116.72727272727273,103.1575061465726,10641.471074380162,120,100,20,1,0.00021166801452636718,0.0019466876983642578,0.0,0.0005787224373636807,0.002109050750732422,0.0019621849060058594,0.0,0.0004218101501464844,0.0007707927072992538,0.002106904983520508,0.001954317092895508,2.8371810913085938e-05,0.000526726245880127,0.000824378986560421,1,1,0,0,2,3,0,2,9,0,0,0.8333333333333334,116.72727272727273,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.16666666666667,128.2,0,6,5,643,641
172.17.0.1,172.17.0.2,37156,80,6,2026-07-16 08:22:19,0.002099752426147461,1062982.460315658,6191.2060860679,3333.726354036562,2857.4797320313387,7,6,699,1533,287,66,99.85714285714286,76.48048970896073,962,66,255.5,327.0340196371014,962,66,171.69230769230768,241.9339975522201,58532.05917159763,140,120,20,1,0.00017497936884562174,0.001298666000366211,0.0,0.0003621272065463179,0.0020933151245117188,0.001298666000366211,0.0,0.00034888585408528644,0.00048314885653340765,0.002090930938720703,0.0013208389282226562,2.2172927856445312e-05,0.0004181861877441406,0.00047550023534191876,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,171.69230769230768,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.85714285714286,255.5,0,7,6,699,1533
172.17.0.1,172.17.0.2,37170,80,6,2026-07-16 08:22:19,0.0015914440155029297,804300.9917602997,6911.961647940075,3770.1608988764046,3141.8007490636705,6,5,639,641,293,66,106.5,83.48203399534538,369,66,128.2,120.43986051137722,369,66,116.36363636363636,102.52651340220842,10511.685950413223,120,100,20,1,0.00015914440155029297,0.0008759498596191406,0.0,0.0002928920038182637,0.0015807151794433594,0.0008759498596191406,0.0,0.0003161430358886719,0.0003533209863024367,0.001562356948852539,0.0008935928344726562,1.5735626220703125e-05,0.00039058923721313477,0.00036868410987921004,1,1,0,0,2,3,0,2,9,0,0,0.8333333333333334,116.36363636363636,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.5,128.2,0,6,5,639,641
