Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
80,0.000482,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,4462655.601659751,26970.954356846472,4.016666666666667e-05,5.505729339111719e-05,0.000199,0.0,0.00047,7.833333333333333e-05,7.798219169927337e-05,0.000225,0.0,0.000459,9.18e-05,6.486108232214446e-05,0.000211,3.1e-05,1,2,0,0,140,120,14522.821576763485,12448.132780082988,66,962,165.46153846153845,239.91877323685884,57561.01775147929,2,3,0,3,11,0,0,0,0.8571428571428571,165.46153846153845,88.28571428571429,255.5,140,0,0,0,0,0,0,7,618,6,1533,64240,65160,1,20,0,0,0,0,0,0,0,0
80,0.000564,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,3813829.7872340414,23049.64539007092,4.7e-05,7.468043027906753e-05,0.000276,0.0,0.000551,9.183333333333336e-05,0.0001034511425209,0.000302,0.0,0.000539,0.0001077999999999,9.491343424405208e-05,0.000289,3e-05,1,2,0,0,140,120,12411.347517730495,10638.297872340425,66,962,165.46153846153845,239.91877323685884,57561.01775147929,2,3,0,3,11,0,0,0,0.8571428571428571,165.46153846153845,88.28571428571429,255.5,140,0,0,0,0,0,0,7,618,6,1533,64240,65160,1,20,0,0,0,0,0,0,0,0
80,0.000513,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,4192982.456140351,25341.1306042885,4.274999999999999e-05,6.612755981182632e-05,0.000236,0.0,0.000501,8.349999999999998e-05,9.090425365918436e-05,0.000261,0.0,0.000489,9.780000000000002e-05,8.2586681735011e-05,0.000248,2.7e-05,1,2,0,0,140,120,13645.22417153996,11695.906432748538,66,962,165.46153846153845,239.91877323685884,57561.01775147929,2,3,0,3,11,0,0,0,0.8571428571428571,165.46153846153845,88.28571428571429,255.5,140,0,0,0,0,0,0,7,618,6,1533,64240,65160,1,20,0,0,0,0,0,0,0,0
80,0.000437,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,4922196.796338673,29748.28375286041,3.641666666666667e-05,4.953863531516476e-05,0.000165,0.0,0.000425,7.083333333333334e-05,7.11533945469614e-05,0.000189,0.0,0.000416,8.32e-05,5.728664765894405e-05,0.000177,2.7e-05,1,2,0,0,140,120,16018.306636155608,13729.977116704806,66,962,165.46153846153845,239.91877323685884,57561.01775147929,2,3,0,3,11,0,0,0,0.8571428571428571,165.46153846153845,88.28571428571429,255.5,140,0,0,0,0,0,0,7,618,6,1533,64240,65160,1,20,0,0,0,0,0,0,0,0
80,70.773467,13,12,1162,3066,206,66,89.38461538461539,49.8328567259339,962,66,255.5,327.0340196371014,59.73990224330822,0.3532397247120873,2.9488944583333336,14.142197700746989,70.772492,0.0,70.773455,5.897787916666665,19.560462875529,70.772504,0.0,70.773443,6.433949363636367,20.34564151245742,70.772517,3.1e-05,2,4,0,0,260,240,0.1836846568502854,0.1695550678618019,66,962,169.12,243.95791768253804,59515.4656,4,5,0,6,22,0,0,0,0.9230769230769232,169.12,89.38461538461539,255.5,260,0,0,0,0,0,0,13,1162,12,3066,64240,65160,2,20,0,0,0,0,0,0,0,0
80,0.000431,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,4990719.257540603,30162.41299303944,3.591666666666667e-05,5.054446612197576e-05,0.000178,0.0,0.00042,7.000000000000001e-05,7.323250644351865e-05,0.000204,0.0,0.000411,8.22e-05,5.9887895271081286e-05,0.000189,3e-05,1,2,0,0,140,120,16241.299303944315,13921.113689095127,66,962,165.46153846153845,239.91877323685884,57561.01775147929,2,3,0,3,11,0,0,0,0.8571428571428571,165.46153846153845,88.28571428571429,255.5,140,0,0,0,0,0,0,7,618,6,1533,64240,65160,1,20,0,0,0,0,0,0,0,0
80,70.721857,13,12,1162,3066,206,66,89.38461538461539,49.8328567259339,962,66,255.5,327.0340196371014,59.78349804926644,0.3534975050216795,2.946744041666667,14.131829825582118,70.720619,0.0,70.721844,5.893487,19.54611995595403,70.720633,0.0,70.72182099999999,6.429256454545453,20.33072122546031,70.720642,2.9e-05,2,4,0,0,260,240,0.1838187026112733,0.1696788024104061,66,962,169.12,243.95791768253804,59515.4656,4,5,0,6,22,0,0,0,0.9230769230769232,169.12,89.38461538461539,255.5,260,0,0,0,0,0,0,13,1162,12,3066,64240,65160,2,20,0,0,0,0,0,0,0,0
80,0.000503,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,4276341.94831014,25844.93041749503,4.1916666666666665e-05,5.4774474489086207e-05,0.000173,0.0,0.000491,8.183333333333333e-05,8.063584121771714e-05,0.000204,0.0,0.000482,9.64e-05,5.928777276977101e-05,0.000185,3.7e-05,1,2,0,0,140,120,13916.500994035789,11928.429423459243,66,962,165.46153846153845,239.91877323685884,57561.01775147929,2,3,0,3,11,0,0,0,0.8571428571428571,165.46153846153845,88.28571428571429,255.5,140,0,0,0,0,0,0,7,618,6,1533,64240,65160,1,20,0,0,0,0,0,0,0,0
80,0.00051,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,4217647.058823529,25490.19607843137,4.25e-05,6.343040806006742e-05,0.000228,0.0,0.000498,8.3e-05,9.026442636313967e-05,0.000256,0.0,0.000487,9.74e-05,7.756700329392648e-05,0.00024,3.2e-05,1,2,0,0,140,120,13725.49019607843,11764.70588235294,66,962,165.46153846153845,239.91877323685884,57561.01775147929,2,3,0,3,11,0,0,0,0.8571428571428571,165.46153846153845,88.28571428571429,255.5,140,0,0,0,0,0,0,7,618,6,1533,64240,65160,1,20,0,0,0,0,0,0,0,0
80,0.000442,7,6,618,1533,206,66,88.28571428571429,48.18332339161781,962,66,255.5,327.0340196371014,4866515.837104072,29411.764705882357,3.683333333333333e-05,4.649522078187774e-05,0.00016,0.0,0.000431,7.183333333333332e-05,6.51598461903921e-05,0.000193,0.0,0.000421,8.420000000000001e-05,5.425642819058402e-05,0.000171,1.8e-05,1,2,0,0,140,120,15837.10407239819,13574.660633484162,66,962,165.46153846153845,239.91877323685884,57561.01775147929,2,3,0,3,11,0,0,0,0.8571428571428571,165.46153846153845,88.28571428571429,255.5,140,0,0,0,0,0,0,7,618,6,1533,64240,65160,1,20,0,0,0,0,0,0,0,0
